//  C D E F G A
0 0 1 0 0 0
0 0 0 0 0 0
0 1 0 0 0 0

0 0 0 0 0 0
0 0 1 0 0 0
0 0 0 0 0 0

0 0 0 1 0 0
0 0 0 0 0 0
0 0 0 0 0 0

0 0 0 0 0 0
0 0 0 0 0 0
0 0 1 0 0 0

0 0 0 0 0 0
0 1 0 0 0 0
0 0 0 0 0 0

0 0 1 0 0 0
0 0 0 0 0 0
1 0 0 0 0 0

0 0 0 0 0 0
0 0 0 0 0 0
0 1 0 0 0 0

0 1 0 0 0 0
0 0 0 0 0 0
0 0 1 0 0 0

0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0

//  C D E F G A
0 0 1 0 0 0
0 0 0 0 0 0
0 1 0 0 0 0

0 0 0 0 0 0
0 0 1 0 0 0
0 0 0 0 0 0

0 0 0 1 0 0
0 0 0 0 0 0
0 0 0 0 0 0

0 0 0 0 0 0
0 0 0 0 0 0
0 0 1 0 0 0

0 0 0 0 0 0
0 1 0 0 0 0
0 0 0 0 0 0

0 0 1 0 0 0
0 0 0 0 0 0
1 0 0 0 0 0

0 0 0 0 0 0
0 0 0 0 0 0
0 1 0 0 0 0

0 0 1 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0

0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0

//  C D E F G A
0 0 0 0 1 0
0 0 0 0 0 0
0 0 0 0 1 0

0 0 0 0 0 0
0 0 0 0 1 0
0 0 0 0 0 0

0 0 0 0 0 1
0 0 0 0 0 0
0 0 0 0 0 0

0 0 0 0 0 0
0 0 1 0 0 0
0 0 0 0 0 0

0 0 1 0 0 0
0 0 0 0 0 0
0 0 0 0 1 0

0 0 0 0 0 0
0 0 0 0 1 0
0 0 0 0 0 0

0 0 0 0 0 0
0 1 0 0 0 0
0 1 0 0 0 0

0 0 0 0 0 0
0 0 0 1 0 0
0 0 0 0 0 0

0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0

//  C D E F G A
0 0 0 1 0 0
0 0 0 0 0 0
0 0 1 0 0 0

0 0 0 0 0 0
0 1 0 0 0 0
0 0 0 0 0 0

0 0 1 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0

0 0 0 0 0 0
1 0 0 0 0 0
0 0 0 0 0 0

1 0 0 0 0 0
0 0 0 0 0 0
0 1 0 0 0 0

0 0 0 0 0 0
0 1 0 0 0 0
0 0 0 0 0 0

0 0 0 0 0 0
0 0 1 0 0 0
0 0 1 0 0 0

0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0

0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0

//  C D E F G A
0 0 0 0 1 0
0 0 0 0 0 0
0 0 0 0 1 0

0 0 0 0 0 0
0 0 0 0 1 0
0 0 0 0 0 0

0 0 0 0 0 1
0 0 0 0 0 0
0 0 0 0 0 0

0 0 0 0 0 0
0 0 1 0 0 0
0 0 0 0 0 0

0 0 1 0 0 0
0 0 0 0 0 0
0 0 0 0 1 0

0 0 0 0 0 0
0 0 0 0 1 0
0 0 0 0 0 0

0 0 0 0 0 0
0 1 0 0 0 0
0 1 0 0 0 0

0 0 0 0 0 0
0 0 0 1 0 0
0 0 0 0 0 0

0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0

//  C D E F G A
0 0 0 1 0 0
0 0 0 0 0 0
0 0 1 0 0 0

0 0 0 0 0 0
0 1 0 0 0 0
0 0 0 0 0 0

0 0 1 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0

0 0 0 0 0 0
1 0 0 0 0 0
0 0 0 0 0 0

1 0 0 0 0 0
0 0 0 0 0 0
0 1 0 0 0 0

0 0 0 0 0 0
0 1 0 0 0 0
0 0 0 0 0 0

0 0 0 0 0 0
1 0 0 0 0 0
1 0 0 0 0 0

0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0

0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0

0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
