// Ukko-Nooa, Ukko-Nooa oli kunnon mies
1 0 0 0 0
1 0 0 0 0
1 0 0 0 0
0 0 1 0 0

0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 0 0 1 0

0 0 1 0 0
0 0 1 0 0
0 1 0 0 0
0 1 0 0 0

1 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0

// Kun hän meni saunaan, laittoi takin naulaan
0 0 1 0 0
0 0 1 0 0
0 0 1 0 0
0 0 1 0 0

0 0 0 0 1
0 0 0 0 0
0 0 0 1 0
0 0 0 0 0

0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 1 0 0 0

0 0 0 1 0
0 0 0 0 0
0 0 1 0 0
0 0 0 0 0

// Ukko-Nooa, Ukko-Nooa oli kunnon mies
1 0 0 0 0
1 0 0 0 0
1 0 0 0 0
0 0 1 0 0

0 1 0 0 0
0 1 0 0 0
0 1 0 0 0
0 0 0 1 0

0 0 1 0 0
0 0 1 0 0
0 1 0 0 0
0 1 0 0 0

1 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
